time,pos_x,pos_y
0.0183841,-0.760016 , -0.327647,
0.0175612,-0.815704 , -0.317533,
0.0198577,-0.871511 , -0.305495,
0.0187961,-0.927486 , -0.291746,
0.0193489,-0.983712 , -0.276564,
0.020059,-1.0403 , -0.260289,
0.0191588,-1.09739 , -0.243325,
0.0164067,-1.15509 , -0.226117,
0.019301,-1.21352 , -0.20913,
0.0189702,-1.27272 , -0.192814,
0.0190726,-1.33271 , -0.177588,
0.0163201,-1.39345 , -0.163824,
0.0179828,-1.45486 , -0.151844,
0.016511,-1.5168 , -0.141916,
0.0185681,-1.57911 , -0.134257,
0.0190242,-1.64161 , -0.129037,
0.0239878,-1.70409 , -0.126383,
0.0171923,-1.76631 , -0.12638,
0.018644,-1.82805 , -0.129076,
0.018109,-1.88908 , -0.134483,
0.0178638,-1.94914 , -0.142586,
0.0185998,-2.00802 , -0.153336,
0.0176909,-2.06547 , -0.166662,
0.019608,-2.12128 , -0.182465,
0.0180146,-2.17523 , -0.200627,
0.0179526,-2.22712 , -0.221009,
0.0184121,-2.27677 , -0.243457,
0.0172874,-2.32399 , -0.267797,
0.0195748,-2.36865 , -0.293849,
0.0174597,-2.41059 , -0.321417,
0.0179542,-2.44969 , -0.350301,
0.01856,-2.48587 , -0.380298,
0.0175707,-2.51905 , -0.411199,
0.0177161,-2.54916 , -0.4428,
0.0162874,-2.57617 , -0.474901,
0.0192985,-2.60008 , -0.507309,
0.0187138,-2.62088 , -0.539839,
0.0189643,-2.63861 , -0.572323,
0.0184439,-2.65331 , -0.604604,
0.0192456,-2.66505 , -0.636544,
0.0192521,-2.67388 , -0.668024,
0.0195142,-2.6799 , -0.69894,
0.0180851,-2.68317 , -0.729211,
0.0208799,-2.6838 , -0.75877,
0.0189437,-2.68187 , -0.787567,
0.01968,-2.67743 , -0.81556,
0.021753,-2.67058 , -0.842718,
0.0193364,-2.66136 , -0.86901,
0.0185683,-2.64983 , -0.89439,
0.0188917,-2.63608 , -0.918775,
0.0199657,-2.62019 , -0.942057,
0.0318712,-2.60227 , -0.964135,
0.0306315,-2.58242 , -0.984923,
0.0288105,-2.56076 , -1.00436,
0.0305217,-2.53737 , -1.0224,
0.0347751,-2.51236 , -1.03903,
0.0184323,-2.48579 , -1.05425,
0.022492,-2.45776 , -1.06806,
0.0180675,-2.42832 , -1.08049,
0.0183158,-2.39752 , -1.0916,
0.0200372,-2.36541 , -1.1014,
0.0177414,-2.33203 , -1.10996,
0.0207328,-2.2974 , -1.11733,
0.0238682,-2.26154 , -1.12354,
0.0179396,-2.22449 , -1.12864,
0.0221149,-2.18624 , -1.13268,
0.0180369,-2.14682 , -1.13569,
0.0190307,-2.10623 , -1.13773,
0.0218047,-2.0645 , -1.13883,
0.0234214,-2.02165 , -1.13904,
0.0192669,-1.97773 , -1.13842,
0.0231729,-1.93277 , -1.13701,
0.0220556,-1.88681 , -1.13489,
0.0193845,-1.83986 , -1.13212,
0.0196646,-1.79195 , -1.12877,
0.0185022,-1.74311 , -1.1249,
0.019088,-1.69335 , -1.12057,
0.0202345,-1.6427 , -1.11585,
0.0187164,-1.59117 , -1.11078,
0.0201036,-1.53879 , -1.10544,
0.0210896,-1.48556 , -1.09989,
0.0186223,-1.43152 , -1.09417,
0.01865,-1.37666 , -1.08837,
0.0201207,-1.32101 , -1.08254,
0.0188483,-1.26459 , -1.07677,
0.0198687,-1.2074 , -1.07111,
0.0179271,-1.14947 , -1.06566,
0.0203424,-1.09081 , -1.06048,
0.0205427,-1.03144 , -1.05564,
0.0197895,-0.971377 , -1.05122,
0.0201252,-0.91065 , -1.04729,
0.0206067,-0.849278 , -1.04389,
0.0205454,-0.787284 , -1.0411,
0.0283489,-0.724693 , -1.03895,
0.0246291,-0.66153 , -1.03749,
0.021407,-0.597821 , -1.03675,
0.0210906,-0.53359 , -1.03676,
0.0204938,-0.468864 , -1.03755,
0.0205509,-0.403665 , -1.03912,
0.0187814,-0.338016 , -1.04149,
0.0201783,-0.271938 , -1.04465,
0.0214945,-0.20545 , -1.04858,
0.0205731,-0.138571 , -1.05325,
0.0195718,-0.0713253 , -1.05863,
0.023636,-0.00373831 , -1.06464,
0.0206225,0.0641641 , -1.07122,
0.0207039,0.132359 , -1.07826,
0.019943,0.20083 , -1.08563,
0.0184013,0.269565 , -1.0932,
0.0192329,0.338544 , -1.1008,
0.0213113,0.407737 , -1.10824,
0.0192649,0.477105 , -1.11533,
0.0175676,0.546604 , -1.12189,
0.0213292,0.616178 , -1.12772,
0.0191309,0.685765 , -1.13263,
0.0180558,0.755293 , -1.13643,
0.0182016,0.82468 , -1.13896,
0.0169284,0.893831 , -1.14003,
0.0164535,0.962638 , -1.1395,
0.0166874,1.03098 , -1.13721,
0.0186591,1.09871 , -1.13302,
0.022195,1.16568 , -1.12683,
0.0156367,1.23172 , -1.11853,
0.0203781,1.29667 , -1.10806,
0.0168559,1.36035 , -1.09538,
0.0197155,1.4226 , -1.08046,
0.0174721,1.48327 , -1.0633,
0.0187022,1.54221 , -1.04394,
0.0175864,1.59931 , -1.0224,
0.0179739,1.65445 , -0.998727,
0.0172147,1.70757 , -0.97297,
0.0162203,1.75858 , -0.945182,
0.01704,1.80745 , -0.915414,
0.0170242,1.85414 , -0.883715,
0.0164467,1.89865 , -0.850132,
0.0204388,1.94096 , -0.814711,
0.0189007,1.98108 , -0.777504,
0.0187393,2.01903 , -0.738569,
0.0186212,2.05483 , -0.697969,
0.0174254,2.08852 , -0.655768,
0.0189623,2.12014 , -0.61205,
0.0181992,2.14972 , -0.56692,
0.0202811,2.17732 , -0.520494,
0.0211421,2.20301 , -0.47289,
0.0208983,2.22688 , -0.42422,
0.0199075,2.249 , -0.374611,
0.0201382,2.26949 , -0.324204,
0.0161443,2.28846 , -0.273147,
0.0191862,2.30601 , -0.221593,
0.0192132,2.32226 , -0.169688,
0.0179047,2.3373 , -0.117577,
0.0171574,2.35119 , -0.0653984,
0.0182973,2.36397 , -0.0132804,
0.0180524,2.37562 , 0.0386546,
0.0196366,2.38604 , 0.0902894,
0.0204511,2.3951 , 0.141505,
0.018927,2.40263 , 0.192173,
0.0180251,2.40843 , 0.242148,
0.0192066,2.41227 , 0.291268,
0.0178165,2.414 , 0.339346,
0.0182778,2.41348 , 0.386175,
0.0185756,2.41065 , 0.431536,
0.0166371,2.40551 , 0.475205,
0.0188238,2.3981 , 0.516955,
0.0161451,2.38853 , 0.556571,
0.0188998,2.37691 , 0.593854,
0.0168332,2.3634 , 0.628629,
0.0181205,2.3482 , 0.660749,
0.0179656,2.3315 , 0.690095,
0.01625,2.31352 , 0.71658,
0.0169462,2.29448 , 0.740153,
0.01694,2.2746 , 0.760815,
0.0183894,2.25405 , 0.778631,
0.016762,2.23293 , 0.793721,
0.0182448,2.21131 , 0.806233,
0.0163223,2.18921 , 0.816318,
0.0173938,2.16664 , 0.824104,
0.0166821,2.14358 , 0.829679,
0.0171943,2.12006 , 0.833089,
0.0160222,2.09613 , 0.834339,
0.0174734,2.07186 , 0.833414,
0.0169431,2.0474 , 0.830289,
0.0175959,2.02292 , 0.82495,
0.0170199,1.9986 , 0.817397,
0.0188354,1.97465 , 0.807649,
0.0157991,1.95124 , 0.795744,
0.0178129,1.92854 , 0.781736,
0.0180019,1.9067 , 0.765691,
0.0199051,1.88586 , 0.747685,
0.0174346,1.86614 , 0.727803,
0.0187329,1.84763 , 0.706132,
0.0188752,1.83043 , 0.682761,
0.0178022,1.8146 , 0.657783,
0.0177605,1.8002 , 0.631283,
0.0180861,1.78725 , 0.603346,
0.0182118,1.7758 , 0.57405,
0.0188968,1.76585 , 0.543467,
0.0174186,1.75742 , 0.511664,
0.0193061,1.7505 , 0.478698,
0.0160488,1.74507 , 0.444623,
0.0178104,1.7411 , 0.409493,
0.0175669,1.73855 , 0.373372,
0.0184085,1.73734 , 0.336327,
0.0162813,1.73736 , 0.298417,
0.0171024,1.73847 , 0.259694,
0.0157441,1.74046 , 0.22021,
0.0183871,1.74309 , 0.180017,
0.0173869,1.74608 , 0.139172,
0.018995,1.74909 , 0.0977424,
0.0172853,1.75173 , 0.0558186,
0.0193217,1.75362 , 0.0135239,
0.0157385,1.75438 , -0.0289728,
0.0178976,1.75366 , -0.071453,
0.0150874,1.75115 , -0.113653,
0.0194063,1.74665 , -0.155276,
0.0189396,1.74 , -0.196008,
0.0193257,1.73115 , -0.23554,
0.0178936,1.7201 , -0.273578,
0.0196613,1.7069 , -0.309865,
0.0188363,1.69163 , -0.344198,
0.0192394,1.6744 , -0.376426,
0.0157254,1.65533 , -0.406432,
