X,Y,X_inner,Y_inner,X_outter,Y_outter
9.24247479545442,-5.88465305773432,8.75004957709525,-5.9713560237962,9.73490001381359,-5.79795009167243
9.2598153886668,-5.98313810140615,8.76739017030763,-6.06984106746803,9.75224060702596,-5.89643513534426
9.27715598187917,-6.08162314507798,8.78473076352001,-6.16832611113987,9.76958120023834,-5.9949201790161
9.29449657509155,-6.18010818874982,8.80207135673238,-6.2668111548117,9.78692179345072,-6.09340522268793
9.31183716830393,-6.27859323242165,8.81941194994476,-6.36529619848353,9.80426238666309,-6.19189026635977
9.3291777615163,-6.37707827609348,8.83675254315714,-6.46378124215537,9.82160297987547,-6.2903753100316
9.34651835472868,-6.47556331976531,8.85409313636952,-6.5622662858272,9.83894357308785,-6.38886035370343
9.36385894794106,-6.57404836343715,8.87143372958189,-6.66075132949903,9.85628416630022,-6.48734539737526
9.38119954115343,-6.67253340710898,8.88877432279427,-6.75923637317086,9.8736247595126,-6.5858304410471
9.39854013436581,-6.77101845078081,8.90611491600665,-6.8577214168427,9.89096535272498,-6.68431548471893
9.41263451286095,-6.86995882049921,8.91384108568499,-6.9046736157033,9.9114279400369,-6.83524402529511
9.41121075098095,-6.96983183979293,8.91360958552711,-6.92091272145473,9.90881191643478,-7.01875095813112
9.39315821514073,-7.06807008606429,8.91067428787952,-6.9368860171588,9.87564214240194,-7.19925415496977
9.35898209132911,-7.16192443941003,8.90511733473366,-6.95214650272329,9.81284684792457,-7.37170237609677
9.30963877143778,-7.24876845971561,8.89709423304404,-6.96626712548603,9.72218330983152,-7.5312697939452
9.24650908938789,-7.32617188551198,8.88682950298869,-6.97885273094704,9.60618867578708,-7.67349104007692
9.17135967958096,-7.39196864292756,8.87461039494888,-6.98955112085584,9.46810896421304,-7.79438616499929
9.08629353902743,-7.44431746155856,8.86077885103357,-6.99806290920191,9.31180822702128,-7.89057201391521
8.99369117663258,-7.48175340097014,8.84572193609901,-7.00414990029629,9.14166041716614,-7.959356901644
8.89614399653085,-7.50322884590002,8.82986100604374,-7.00764175449016,8.96242698701796,-7.99881593730988
8.79638177968336,-7.508142822946,8.81363991649583,-7.00844075499574,8.77912364287089,-8.00784489089625
8.69719629310893,-7.496357818333,8.7975126018629,-7.00652454241355,8.59687998435495,-7.98619109425245
8.60136316448421,-7.46820362612771,8.78193037233552,-7.0019467404426,8.4207959566329,-7.93446051181283
8.51156420839051,-7.42446811921152,8.7673292843271,-6.99483545526341,8.25579913245392,-7.85410078315963
8.43031237784622,-7.3663752012788,8.75411793777888,-6.98538969058752,8.10650681791357,-7.74736071197009
